"Iteration"	"posterior"	"NumSpeciation"	"numExtinction"	"numMassExtinctions"
67200	-1843.5915331894	3	1	4
67300	-1834.91334647404	1	2	3
67400	-1834.73014869119	1	2	3
67500	-1847.18773947846	4	2	3
67600	-1838.66254526163	1	2	2
67700	-1836.05181918102	2	1	2
67800	-1833.45037684098	2	3	1
67900	-1831.71794259043	2	2	2
68000	-1834.47582506247	3	2	1
68100	-1837.29346788341	4	2	1
68200	-1826.43990118104	2	2	1
68300	-1828.70443969672	3	2	1
68400	-1826.72500492957	3	2	0
68500	-1829.02163079372	2	2	1
68600	-1833.53028339459	2	2	3
68700	-1843.32919366577	4	2	2
68800	-1832.23920830682	2	2	3
68900	-1838.46546213282	2	2	3
69000	-1838.74239222024	3	2	3
69100	-1831.5073913569	2	2	3
69200	-1836.50536848714	3	2	2
69300	-1842.83851720791	4	2	2
69400	-1833.88303140566	2	2	3
69500	-1831.860484682	2	2	2
69600	-1836.07228314528	3	2	2
69700	-1830.39059575791	2	2	2
69800	-1829.24665426175	3	2	0
69900	-1854.60862906516	2	2	5
70000	-1823.82763293867	2	2	0
70100	-1829.24690824673	3	2	1
70200	-1830.23291926148	3	2	1
70300	-1830.61771392516	3	2	2
70400	-1853.0358322587	3	2	5
70500	-1827.4951551586	2	2	1
70600	-1836.58347656107	3	2	3
70700	-1827.60326440339	3	2	1
70800	-1826.33934017646	3	2	0
70900	-1853.12809854373	6	2	2
71000	-1845.90371967329	4	2	2
71100	-1846.31011001535	6	2	1
71200	-1843.33368068627	4	2	2
71300	-1828.05858496883	2	2	1
71400	-1826.07805042808	2	2	1
71500	-1826.76940238742	2	2	2
71600	-1829.9341164901	3	2	1
71700	-1834.9594950638	2	2	2
71800	-1830.30000611716	3	2	1
71900	-1825.18689607974	2	2	1
72000	-1830.87436743007	3	2	1
72100	-1829.17850233367	3	2	1
72200	-1849.12254545583	3	2	4
72300	-1824.01423707245	2	2	1
72400	-1841.87624737903	3	2	2
